precision,recall,thresholds
0.4515086206896552,1.0,0.0
0.5484293193717278,1.0,0.005
0.5696145124716553,0.9992044550517104,0.01
0.5839144583914458,0.9992044550517104,0.015
0.5992366412213741,0.9992044550517104,0.02
0.6129819424109322,0.9992044550517104,0.025
0.6220901436354631,0.9992044550517104,0.03
0.6301507537688442,0.9976133651551312,0.035
0.6386340468909276,0.9968178202068417,0.04
0.645211122554068,0.9968178202068417,0.045
0.6529442417926004,0.9968178202068417,0.05
0.6591267753813782,0.9968178202068417,0.055
0.6673773987206824,0.9960222752585521,0.06
0.6727565824825362,0.9960222752585521,0.065
0.6796959826275787,0.9960222752585521,0.07
0.6864035087719298,0.9960222752585521,0.075
0.6913307564881281,0.9960222752585521,0.08
0.6974930362116991,0.9960222752585521,0.085
0.7014005602240896,0.9960222752585521,0.09
0.7061477721376198,0.9960222752585521,0.095
0.7137970353477765,0.9960222752585521,0.1
0.7216138328530259,0.9960222752585521,0.105
0.7274840209180709,0.9960222752585521,0.11
0.7380530973451327,0.9952267303102625,0.115
0.7473118279569892,0.9952267303102625,0.12
0.7503001200480192,0.994431185361973,0.125
0.7546827794561933,0.9936356404136834,0.13
0.7592705167173253,0.9936356404136834,0.135
0.7605118829981719,0.9928400954653938,0.14
0.7651747394236664,0.9928400954653938,0.1433333333333333
0.7656441717791411,0.9928400954653938,0.145
0.7686613201727329,0.9912490055688147,0.15
0.7732919254658385,0.9904534606205251,0.155
0.7770143660212367,0.9896579156722355,0.16
0.7797992471769134,0.9888623707239459,0.165
0.7855787476280834,0.9880668257756563,0.17
0.789440203562341,0.9872712808273667,0.175
0.7904458598726115,0.9872712808273667,0.18
0.797427652733119,0.9864757358790772,0.185
0.8003875968992248,0.9856801909307876,0.19
0.8050682261208577,0.9856801909307876,0.195
0.8076923076923077,0.9856801909307876,0.2
0.8091503267973856,0.984884645982498,0.205
0.8118032786885246,0.984884645982498,0.21
0.8155467720685112,0.984884645982498,0.215
0.8175809649702578,0.9840891010342084,0.22
0.8207171314741036,0.9832935560859188,0.225
0.8230974632843792,0.9809069212410502,0.23
0.8268456375838926,0.9801113762927606,0.235
0.8301886792452831,0.9801113762927606,0.24
0.8334461746784022,0.979315831344471,0.245
0.8373042886317222,0.9785202863961814,0.25
0.8390177353342428,0.9785202863961814,0.255
0.8422496570644719,0.9769291964996022,0.259547965922966
0.8421413864104323,0.9761336515513126,0.265
0.843878954607978,0.9761336515513126,0.27
0.8462068965517241,0.9761336515513126,0.275
0.8490304709141274,0.9753381066030231,0.28
0.8505906879777624,0.9737470167064439,0.285
0.8532494758909853,0.9713603818615751,0.29
0.8550420168067226,0.9713603818615751,0.295
0.8598591549295774,0.9713603818615751,0.3
0.8614840989399293,0.9697692919649961,0.305
0.8639262934089298,0.9697692919649961,0.31
0.8662873399715505,0.9689737470167065,0.315
0.8681397006414825,0.9689737470167065,0.32
0.8717765042979942,0.9681782020684169,0.325
0.873653984206748,0.9681782020684169,0.33
0.8735632183908046,0.9673826571201273,0.335
0.8741912293314162,0.9673826571201273,0.34
0.8753602305475504,0.9665871121718377,0.345
0.8778018799710774,0.9657915672235481,0.35
0.8803480783176215,0.9657915672235481,0.355
0.8809005083514887,0.9649960222752586,0.36
0.885317750182615,0.964200477326969,0.365
0.8872620790629575,0.964200477326969,0.37
0.8883174136664217,0.9618138424821002,0.375
0.8892988929889298,0.958631662688942,0.38
0.8918518518518519,0.9578361177406524,0.385
0.8937592867756315,0.9570405727923628,0.39
0.8961911874533234,0.954653937947494,0.395
0.8994748687171793,0.9538583929992045,0.4
0.8999247554552295,0.9514717581543357,0.405
0.9039334341906202,0.9506762132060461,0.41
0.9045454545454545,0.9498806682577565,0.415
