precision,recall,thresholds
0.4515086206896552,1.0,9.254096156041669e-09
0.4516708587854833,1.0,1.2904725288365171e-08
0.4518332135154565,1.0,1.9618290991729737e-08
0.4519956850053937,1.0,2.1606522793149452e-08
0.45215827338129494,1.0,4.985970392112904e-08
0.45232097876934146,1.0,5.156778115633642e-08
0.4524838012958963,1.0,5.1696790848154706e-08
0.4526467410875045,1.0,5.5440136037532284e-08
0.45280979827089335,1.0,6.171254085529654e-08
0.45297297297297295,1.0,6.33007317674128e-08
0.45313626532083634,1.0,6.892585702189535e-08
0.4532996754417598,1.0,7.67273746760111e-08
0.45346320346320346,1.0,8.367099013639745e-08
0.45362684951281124,1.0,1.3780265817331383e-07
0.45379061371841156,1.0,1.4098014844421414e-07
0.4539544962080173,1.0,1.9462137856862682e-07
0.4541184971098266,1.0,2.202186379918203e-07
0.45428261655222263,1.0,2.541092953833868e-07
0.4544468546637744,1.0,4.04072977744363e-07
0.4546112115732369,1.0,4.5091991296430933e-07
0.4547756874095514,1.0,4.784222369380586e-07
0.4549402823018458,1.0,4.873696752838441e-07
0.4551049963794352,1.0,7.125062779778091e-07
0.4552698297718218,1.0,7.81927894877299e-07
0.45543478260869563,1.0,7.890983511060767e-07
0.4555998550199348,1.0,8.073423032328719e-07
0.4557650471356055,1.0,8.129065349748998e-07
0.455930359085963,1.0,8.924516805564053e-07
0.45609579100145137,1.0,1.089110355678713e-06
0.45626134301270416,1.0,1.1238998922635801e-06
0.4564270152505447,1.0,1.1629729215201223e-06
0.4565928078459862,1.0,1.1761914038288523e-06
0.45675872093023256,1.0,1.2685158026215504e-06
0.4569247546346783,1.0,1.4981518461354426e-06
0.4570909090909091,1.0,1.6229114407906309e-06
0.45725718443070207,1.0,1.6310184491885593e-06
0.4574235807860262,1.0,1.6333019630110357e-06
0.45759009828904257,1.0,1.646895611884247e-06
0.4577567370721049,1.0,1.6713776176402462e-06
0.45792349726775955,1.0,1.7083768852899084e-06
0.45809037900874633,1.0,1.7228483102371683e-06
0.4582573824279985,1.0,1.7376295318172197e-06
0.45842450765864334,1.0,1.800643872229557e-06
0.45859175483400216,1.0,1.8487866100258543e-06
0.45875912408759123,1.0,1.909467755467631e-06
0.4589266155531216,1.0,1.921707735164091e-06
0.4590942293644996,1.0,1.9339377104188316e-06
0.45926196565582755,1.0,1.997320850932738e-06
0.4594298245614035,1.0,1.999342657654779e-06
0.4595978062157221,1.0,2.1065854980406584e-06
0.4597659107534748,1.0,2.146170572814299e-06
0.45993413830954993,1.0,2.1662253857357427e-06
0.46010248901903367,1.0,2.179830516979564e-06
0.4602709630172098,1.0,2.2625652036367683e-06
0.4604395604395604,1.0,2.2720469132764265e-06
0.46060828142176624,1.0,2.491060058673611e-06
0.4607771260997067,1.0,2.554929324105615e-06
0.46094609460946095,1.0,2.577800159997423e-06
0.4611151870873074,1.0,2.623403815960046e-06
0.4612844036697248,1.0,2.6241571049467893e-06
0.46145374449339205,1.0,2.675668838492129e-06
0.4616232096951891,1.0,2.7159228466189234e-06
0.4617927994121969,1.0,2.733882411121158e-06
0.4619625137816979,1.0,2.8365504931571195e-06
0.4621323529411765,1.0,2.844566779458546e-06
0.46230231702831925,1.0,2.8476204079197487e-06
0.4624724061810154,1.0,2.930832124548033e-06
0.4626426205373574,1.0,3.129008064206573e-06
0.46281296023564067,1.0,3.2101916076499037e-06
0.46298342541436466,1.0,3.457126240391517e-06
0.46315401621223284,1.0,3.5688301522895927e-06
0.46332473276815334,1.0,3.706302550199325e-06
0.46349557522123896,1.0,3.7480067476280965e-06
0.46366654371080784,1.0,3.796930968746892e-06
0.46383763837638375,1.0,3.931118499167496e-06
0.4640088593576966,1.0,4.393048584461212e-06
0.4641802067946824,1.0,4.529214493231848e-06
0.4643516808274843,1.0,4.8230563152174e-06
0.46452328159645234,1.0,4.823268227482913e-06
0.4646950092421442,1.0,5.060272087575868e-06
0.46486686390532544,1.0,5.168893039808609e-06
0.46503884572697,1.0,5.1713727771129925e-06
0.4652109548482605,1.0,5.267954747978365e-06
0.46538319141058865,1.0,5.5123136917245574e-06
0.46555555555555556,1.0,5.583586244028993e-06
0.4657280474249722,1.0,5.609771960735088e-06
0.46590066716085987,1.0,5.697910637536552e-06
0.4660734149054505,1.0,5.70332667848561e-06
0.46624629080118696,1.0,5.809959020552924e-06
0.46641929499072354,1.0,5.898375093238428e-06
0.4665924276169265,1.0,6.307466719590593e-06
0.4667656888228741,1.0,6.622370165132452e-06
0.46693907875185736,1.0,6.831218342995271e-06
0.46711259754738016,1.0,7.3700198299775366e-06
0.4672862453531598,1.0,7.524917236878537e-06
0.46746002231312755,1.0,7.592502697661985e-06
0.46763392857142855,1.0,7.64031119615538e-06
0.46780796427242277,1.0,7.925036697997712e-06
0.467982129560685,1.0,8.0712843555375e-06
0.4681564245810056,1.0,8.348866685992107e-06
0.4683308494783905,1.0,8.565735697629862e-06
0.4685054043980619,1.0,9.613321708457079e-06
0.46868008948545864,1.0,9.827685971686151e-06
0.4688549048862365,1.0,9.853821211436298e-06
0.4690298507462687,1.0,1.0020158697443549e-05
0.46920492721164614,1.0,1.0304292118235026e-05
0.4693801344286781,1.0,1.0473846487002447e-05
0.4695554725438924,1.0,1.1329681910865474e-05
0.4697309417040359,1.0,1.199426333187148e-05
0.4699065420560748,1.0,1.2727553439617623e-05
0.4700822737471952,1.0,1.2848434380430263e-05
0.4702581369248036,1.0,1.2934342521475628e-05
0.47043413173652693,1.0,1.3098720046400558e-05
0.4706102583302134,1.0,1.3490870514942799e-05
0.4707865168539326,1.0,1.3663595382240601e-05
0.470962907455976,1.0,1.3744755960942712e-05
0.47113943028485755,1.0,1.3934863090980798e-05
0.47131608548931386,1.0,1.5135195098991971e-05
0.4714928732183046,1.0,1.544532278785482e-05
0.47166979362101313,1.0,1.5710811567259952e-05
0.47184684684684686,1.0,1.6312143998220563e-05
0.4720240330454375,1.0,1.6769392459536903e-05
0.4722013523666416,1.0,1.6963844245765358e-05
0.47237880496054113,1.0,1.699044332781341e-05
0.4725563909774436,1.0,1.7034020856954157e-05
0.47273411056788267,1.0,1.7407010091119446e-05
0.4729119638826185,1.0,1.7556621969561093e-05
0.4730899510726383,1.0,1.8986464056069963e-05
0.4732680722891566,1.0,1.9076978787779808e-05
0.47344632768361583,1.0,1.909770981001202e-05
0.4736247174076865,1.0,1.9757662812480703e-05
0.473803241613268,1.0,2.0062920157215558e-05
0.47398190045248867,1.0,2.0718593077617697e-05
0.4741606940777065,1.0,2.0718987798318267e-05
0.4743396226415094,1.0,2.1012610886828043e-05
0.47451868629671573,1.0,2.1487856429303065e-05
0.4746978851963746,1.0,2.2290925699053332e-05
0.47487721949376654,1.0,2.325426430616062e-05
0.47505668934240364,1.0,2.6736530344351195e-05
0.47523629489603025,1.0,2.6840632926905528e-05
0.4754160363086233,1.0,2.7220719857723452e-05
0.47559591373439275,1.0,2.734983354457654e-05
0.47577592732778196,1.0,2.7363917979528196e-05
0.4759560772434684,1.0,2.7374830096960068e-05
0.47613636363636364,1.0,2.7380780011299066e-05
0.47631678666161426,1.0,2.7402988052926958e-05
0.47649734647460196,1.0,2.7403719286667183e-05
0.47667804323094426,1.0,2.745326310105156e-05
0.4768588770864947,1.0,2.7480080461828038e-05
0.47703984819734346,1.0,2.7633499485091306e-05
0.4772209567198178,1.0,2.778836278594099e-05
0.47740220281048235,1.0,2.7805459467344917e-05
0.4775835866261398,1.0,2.7818641683552414e-05
0.47776510832383123,1.0,2.7904861781280488e-05
0.4779467680608365,1.0,2.7910953576792963e-05
0.4781285659946748,1.0,2.8104383090976626e-05
0.478310502283105,1.0,2.819982182700187e-05
0.4784925770841264,1.0,2.82084038190078e-05
0.47867479055597867,1.0,2.828523429343477e-05
0.47885714285714287,1.0,2.838943328242749e-05
0.4790396341463415,1.0,2.8466316507547162e-05
0.4792222645825391,1.0,2.847826362994965e-05
0.4794050343249428,1.0,2.8480983019107953e-05
0.47958794353300266,1.0,2.852262150554452e-05
0.47977099236641224,1.0,2.898752791224979e-05
0.47995418098510884,1.0,2.925103035522625e-05
0.48013750954927426,1.0,2.931584276666399e-05
0.4803209782193351,1.0,2.9564931537606753e-05
0.4805045871559633,1.0,2.979987402795814e-05
0.4806883365200765,1.0,2.9968528906465508e-05
0.48087222647283856,1.0,3.0042925573070534e-05
0.48105625717566014,1.0,3.083899355260655e-05
0.48124042879019907,1.0,3.0942275770939887e-05
0.4814247414783608,1.0,3.1511888664681464e-05
0.48160919540229885,1.0,3.1669449526816607e-05
0.48179379072441547,1.0,3.1707164453109726e-05
0.481978527607362,1.0,3.2602874853182584e-05
0.48216340621403914,1.0,3.277733412687667e-05
0.48234842670759787,1.0,3.2778989407233894e-05
0.4825335892514395,1.0,3.2838845072546974e-05
0.4827188940092166,1.0,3.2842533983057365e-05
0.4829043411448329,1.0,3.285049388068728e-05
0.4830899308224443,1.0,3.285428465460427e-05
0.48327566320645904,1.0,3.6082841688767076e-05
0.48346153846153844,1.0,3.640445356722921e-05
0.48364755675259713,1.0,3.708768781507388e-05
0.4838337182448037,1.0,3.8585483707720414e-05
0.48402002310358105,1.0,3.863261372316629e-05
0.4842064714946071,1.0,4.040127532789484e-05
0.484393063583815,1.0,4.099265061086044e-05
0.484579799537394,1.0,4.2525458411546424e-05
0.4847666795217894,1.0,4.601324690156616e-05
0.4849537037037037,1.0,4.747230195789598e-05
0.4851408722500965,1.0,4.755847839987837e-05
0.48532818532818534,1.0,4.82985851704143e-05
0.4855156431054461,1.0,4.845410512643866e-05
0.4857032457496136,1.0,4.943494059261866e-05
0.48589099342868186,1.0,5.031995169701986e-05
0.48607888631090485,1.0,5.181203960091807e-05
0.4862669245647969,1.0,5.273121132631786e-05
0.48645510835913314,1.0,5.350147694116458e-05
0.48664343786295006,1.0,5.423172115115449e-05
0.4868319132455461,1.0,5.4335512686520815e-05
0.487020534676482,1.0,5.447756848298013e-05
0.4872093023255814,1.0,5.64759575354401e-05
0.48739821636293135,1.0,5.7966102758655325e-05
0.4875872769588829,1.0,5.861865065526217e-05
0.48777648428405124,1.0,5.9615504142129794e-05
0.4879658385093168,1.0,6.0860613302793354e-05
0.48815533980582526,1.0,6.164943624753505e-05
0.48834498834498835,1.0,6.291385943768546e-05
0.48853478429848424,1.0,6.369817128870636e-05
0.48872472783825816,1.0,6.459873111452907e-05
0.48891481913652274,1.0,6.589913391508162e-05
0.48910505836575874,1.0,6.730152381351218e-05
0.48929544569871547,1.0,6.800403207307681e-05
0.4894859813084112,1.0,6.924077752046287e-05
0.48967666536813403,1.0,7.024482329143211e-05
0.4898674980514419,1.0,7.076655310811475e-05
0.49005847953216375,1.0,7.200775144156069e-05
0.49024960998439937,1.0,7.228424510685727e-05
0.49044088958252047,1.0,7.379760063486174e-05
0.49063231850117095,1.0,7.42460906622e-05
0.49082389691526745,1.0,7.459369953721762e-05
0.491015625,1.0,7.469135016435757e-05
0.4912075029308324,1.0,7.477917097276077e-05
0.49139953088350274,1.0,7.495692989323288e-05
0.49159170903402427,1.0,7.663584256079048e-05
0.49178403755868544,1.0,7.856753654778004e-05
0.4919765166340509,1.0,8.200629963539541e-05
0.49216914643696164,1.0,8.244712807936594e-05
0.49236192714453586,1.0,8.424076077062637e-05
0.4925548589341693,1.0,8.452215843135491e-05
0.4927479419835359,1.0,8.59349820530042e-05
0.4929411764705882,1.0,8.618282299721614e-05
0.49313456257355825,1.0,8.881229587132111e-05
0.4933281004709576,1.0,9.333825437352061e-05
0.49352179034157834,1.0,9.336059883935377e-05
0.49371563236449334,1.0,9.759779641171917e-05
0.49390962671905697,1.0,0.00010102507803821936
0.49410377358490565,1.0,0.00010304040915798396
0.49429807314195834,1.0,0.00010479293268872425
0.494492525570417,1.0,0.00010530379950068891
0.4946871310507674,1.0,0.00010547192505327985
0.4948818897637795,1.0,0.00010627442679833621
0.49507680189050807,1.0,0.00010640726395649835
0.49527186761229314,1.0,0.00010795606794999912
0.49546708711076076,1.0,0.00010818711598403752
0.49566246056782337,1.0,0.00010916798055404797
0.4958579881656805,1.0,0.0001133588666561991
0.4960536700868193,1.0,0.00011639628792181611
0.496249506514015,1.0,0.00011789132986450568
0.49644549763033174,1.0,0.00011999840353382751
0.4966416436191229,1.0,0.00012224029342178255
0.49683794466403164,1.0,0.00012319537927396595
0.4970344009489917,1.0,0.00012482298188842833
0.49723101265822783,1.0,0.00012922640598844737
0.4974277799762564,1.0,0.00013340171426534653
0.497624703087886,1.0,0.0001345018536085263
0.4978217821782178,1.0,0.00013498366752173752
0.4980190174326466,1.0,0.00013500348723027855
0.4982164090368609,1.0,0.00013516204489860684
0.4984139571768438,1.0,0.00013555803161580116
0.49861166203887347,1.0,0.00013561388186644763
0.4988095238095238,1.0,0.00013571296585723758
0.49900754267566494,1.0,0.00013598786608781666
0.49920571882446385,1.0,0.0001361414761049673
