precision,recall,thresholds
0.4515086206896552,1.0,1.3451774812017653e-07
0.4516708587854833,1.0,1.7947023199591362e-07
0.4518332135154565,1.0,2.2033616422529838e-07
0.4519956850053937,1.0,4.948960340619068e-07
0.45215827338129494,1.0,7.475251392219844e-07
0.45232097876934146,1.0,1.6588780852171114e-06
0.4524838012958963,1.0,1.7024015573152096e-06
0.4526467410875045,1.0,2.0174790236713227e-06
0.45280979827089335,1.0,2.0787595569355226e-06
0.45297297297297295,1.0,2.740601109484974e-06
0.45313626532083634,1.0,3.028325500157363e-06
0.4532996754417598,1.0,3.3459127778748403e-06
0.45346320346320346,1.0,3.4411813175863273e-06
0.45362684951281124,1.0,3.85112360859646e-06
0.45379061371841156,1.0,4.7814791625930225e-06
0.4539544962080173,1.0,5.256543255022898e-06
0.4541184971098266,1.0,5.38137067537536e-06
0.45428261655222263,1.0,5.52364511905825e-06
0.4544468546637744,1.0,6.1742701255153995e-06
0.4546112115732369,1.0,6.371010857919953e-06
0.4547756874095514,1.0,7.512127529128621e-06
0.4549402823018458,1.0,8.27260277597038e-06
0.4551049963794352,1.0,8.412524750388214e-06
0.4552698297718218,1.0,9.109600944382966e-06
0.45543478260869563,1.0,9.479617452582067e-06
0.4555998550199348,1.0,1.221454846430833e-05
0.4557650471356055,1.0,1.3919720362032456e-05
0.455930359085963,1.0,1.4669350270148367e-05
0.45609579100145137,1.0,1.5348488829202336e-05
0.45626134301270416,1.0,1.5973030523361922e-05
0.4564270152505447,1.0,1.6203947321254502e-05
0.4565928078459862,1.0,1.7024245581878623e-05
0.45675872093023256,1.0,1.9629538861544204e-05
0.4569247546346783,1.0,2.0650280557405748e-05
0.4570909090909091,1.0,2.178895938886784e-05
0.45725718443070207,1.0,2.2375708167370443e-05
0.4574235807860262,1.0,2.367947368560904e-05
0.45759009828904257,1.0,2.667666432911734e-05
0.4577567370721049,1.0,2.797225071602239e-05
0.45792349726775955,1.0,2.798243985821417e-05
0.45809037900874633,1.0,2.830321941248206e-05
0.4582573824279985,1.0,2.8658547695705424e-05
0.45842450765864334,1.0,3.0619072112474364e-05
