,Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,avg val received,min val sent,max val sent,avg val sent,total Ether sent,total ether received,total ether balance,adjusted_eth_value__energy_ratio_by_chunks__num_segments_10__segment_focus_0,adjusted_eth_value__absolute_sum_of_changes,adjusted_eth_value__max_langevin_fixed_point__m_3__r_30,adjusted_eth_value__ratio_value_number_to_time_series_length,adjusted_eth_value__has_duplicate_min,adjusted_eth_value__mean_abs_change,adjusted_eth_value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,adjusted_eth_value__count_below__t_0,"adjusted_eth_value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",adjusted_eth_value__autocorrelation__lag_6
7268,0x4cce03d1fd8aa1d6172cec74d75bd1df9e6a8ac2,0,0.0,0.0,89.1,1,1,0,1,1,1.015082,1.015082,1.012037,1.012037,1.012037,1.01203736,1.01508158,0.00304422,0.5015017437183805,2.0271189400000003,0.0,1.0,0.0,2.0271189400000003,0.4984982562816194,0.5,0.0,0.0
7269,0x4cd3bb2110eda1805dc63abc1959a5ee2d386e9f,0,0.0,0.0,3.35,1,1,0,1,1,2.9875,2.9875,2.987028,2.987028,2.987028,2.987028364,2.9875,0.000471636,0.500078941172379,5.974528363723616,0.0,1.0,0.0,5.974528363723616,0.4999210588276208,0.5,0.0,0.0
7270,0x4cd526aa2db72eb1fd557b37c6b0394acd35b212,0,3.38,0.0,20.25,6,1,0,1,2,101.0,101.0,9.999454,50.999454,16.832787,100.996724,101.0,0.003276,0.766883519752326,151.999454,0.0,0.4285714285714285,0.0,25.33324233333333,0.0075169079341061,0.8571428571428571,0.0,-2.7106507848939443
7271,0x4cdf46740d51a0f6735fe3f1d28fadf00c20cd34,0,3.92,0.0,11.77,3,2,0,2,3,610.0559059999998,1000.5,0.08942,1488.811341,666.999528,2000.998585,2001.0,0.001414909,0.4042724478122639,2879.755434399013,2064.9832450556564,1.0,0.0,719.9388585997533,0.0777667709596746,0.6,0.0,0.0
7272,0x4cebc6d94f95c63ed6091732e33ebc935fcd35bb,0,3006.86,4005.52,988908.52,201,96,0,13,58,0.01,1.403574,0.0,10.0,0.6748529999999999,135.6455,134.7430648,-0.902435158,0.0789287897146691,512.1242188922813,0.0,0.4053254437869822,0.0,1.5196564358821405,0.3099162553414484,0.6952662721893491,0.0472804518859505,0.0538457994673581
7273,0x4cecaa775fb1cb6485def99a4f147aaf55617869,0,27.44,56995.6,285115.22,5,5,0,5,1,4.651895,30.872545,4.650618,67.4988,30.871443,154.3572144,154.36272580000005,0.00551146,0.2587360116755547,545.28926261,-0.8316641069881794,1.0,0.0,60.58769584555556,0.2587268122546907,0.5,0.0,0.3480069911768417
7274,0x4cf1fdf836d6439111261fa1e280150332f4a61f,0,0.0,2636.28,5272.57,0,2,1,2,0,1.221383,1.516592,0.0,0.0,0.0,0.0,3.03318486,3.03318486,0.0,2.4022209299999995,1.568016562515928,1.0,0.0,1.2011104649999995,0.6875470253753345,0.3333333333333333,0.0,0.0
7275,0x4cf6799fc23a11d37eec35eeb1ed264eb489c04b,0,8752.43,5591.96,511290.38,45,21,0,13,33,0.006485,1.326523,0.0,3.47,0.67335,30.30076449,27.85699104,-2.44377345,0.0447925587773469,72.93082314,0.0,0.4848484848484848,0.0,1.1220126636923078,0.0886525612541646,0.6818181818181818,0.6126118219391136,0.0764006344767598
7276,0x4cf9e02635c551b3ab804367afb8824b9896c879,0,291.05,395.69,436853.67,102,1029,0,6,3,0.032838,1.718702,0.03267,213.272319,17.355156,1770.2259210000002,1768.544078,-1.681843281,0.0161962899329387,4367.213672246508,25.95687994183412,1.0,0.0,3.86479086039514,0.0211758532473876,0.0901856763925729,0.0162613719838726,-0.0412521120847609
7277,0x4cff17f91d5ce38e3f9139a749f0a5f058d56589,0,101.53,0.0,304.58,3,1,0,1,2,101.0,101.0,1.0,89.998512,33.66617100000001,100.9985118,101.0,0.001488218,0.5543499890047936,190.9985117815968,92.20382117913051,1.0,0.0,63.6661705938656,5.434271042101692e-05,0.75,0.0,0.0
